History and Forecast Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
The Claridges,,,,,,,,,,,,,,,,,,,,,,,,,
Date From: 2023-11-21; Date To: 2024-01-06,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Day,Rooms Sold,Rooms for Sale,Arrival Rooms,Compliment Rooms,House Use,Hold,Individual Confirm,Individual Tentative,Group Confirm,Group Tentative,Occupancy %,Room Revenue,ARR,Inclusion Revenue,Departure Rooms,OOO Rooms,Pax,Individual Revenue,Individual ARR,Confirmed Group Revenue,Confirmed Group ARR,Tentative Group Revenue,Tentative Group ARR,Total Room Inventory
2023-11-21 00:00:00,Tuesday,105,5,37,2,3,0,82,0,28,0,91.3,1411743.44,13445.18,0,42,16,163,1116688.34,13618.15,295055.1,10537.68,0,0,115
,Total (History),105,5,37,2,3,0,82,0,28,0,91.3,1411743.44,13445.18,0,42,16,163,1116688.34,13618.15,295055.1,10537.68,0,0,115
,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-22 00:00:00,Wednesday,113,1,39,1,2,0,78,19,19,0,96.58,1464730.06,12962.21,0,11,13,230,1247837.68,12864.31,216892.38,11415.39,0,0,117
2023-11-23 00:00:00,Thursday,106,8,45,0,2,0,67,31,3,7,91.38,1487633.84,14034.28,0,53,14,209,1363447.44,13912.73,124186.4,41395.47,0,0,116
2023-11-24 00:00:00,Friday,103,10,37,1,2,0,60,26,1,19,88.79,1438795.77,13968.89,0,39,14,198,1180609.37,13728.02,258186.4,258186.4,0,0,116
2023-11-25 00:00:00,Saturday,88,27,50,0,2,0,42,24,0,24,75.21,1221316.54,13878.6,0,66,13,175,942842.8,14285.5,278473.74,0,0,0,117
2023-11-26 00:00:00,Sunday,107,6,53,1,2,0,32,34,7,37,92.24,1515628.94,14164.76,0,33,14,209,946655.2,14343.26,568973.74,81281.96,0,0,116
2023-11-27 00:00:00,Monday,115,0,32,0,2,0,27,46,7,37,98.29,1660957.81,14443.11,0,25,13,217,1091984.07,14958.69,568973.74,81281.96,0,0,117
2023-11-28 00:00:00,Tuesday,107,12,58,0,2,0,39,59,0,11,88.43,1588363.2,14844.52,0,66,9,199,1445363.2,14748.6,143000,0,0,0,121
2023-11-29 00:00:00,Wednesday,105,14,37,0,2,0,37,52,0,18,86.78,1542211.76,14687.73,0,39,9,194,1317711.76,14805.75,224500,0,0,0,121
2023-11-30 00:00:00,Thursday,87,31,38,1,2,0,28,30,3,29,71.9,1063564.6,12224.88,0,55,9,146,797200.27,13744.83,266364.33,88788.11,0,0,121
2023-12-01 00:00:00,Friday,122,0,2,0,0,0,15,5,98,4,100,348152.51,2853.71,0,66,8,47,302389.82,15119.49,45762.69,466.97,0,0,122
2023-12-02 00:00:00,Saturday,119,1,40,0,2,0,15,24,71,11,97.54,581554.98,4887.02,0,15,8,80,477436.39,12241.96,104118.59,1466.46,0,0,122
2023-12-03 00:00:00,Sunday,80,40,36,0,2,0,22,27,19,14,65.57,872998.89,10912.49,0,24,8,96,686998.89,14020.39,186000,9789.47,0,0,122
2023-12-04 00:00:00,Monday,95,25,42,0,2,0,15,36,8,38,77.87,1390855.04,14640.58,0,16,8,125,725355.04,14222.65,665500,83187.5,0,0,122
2023-12-05 00:00:00,Tuesday,78,38,29,4,2,0,20,35,13,16,63.93,921186.26,11810.08,0,46,8,103,743686.26,13521.57,177500,13653.85,0,0,122
2023-12-06 00:00:00,Wednesday,80,39,28,1,2,0,23,36,10,14,65.57,1041756.5,13021.96,0,26,8,112,833756.5,14131.47,208000,20800,0,0,122
2023-12-07 00:00:00,Thursday,102,17,35,1,2,0,24,40,27,14,83.61,1077686.13,10565.55,0,30,8,116,910186.13,14221.66,167500,6203.7,0,0,122
2023-12-08 00:00:00,Friday,66,54,20,0,2,0,21,40,0,7,54.1,902217.17,13669.96,0,31,8,104,807717.17,13241.26,94500,0,0,0,122
2023-12-09 00:00:00,Saturday,62,58,26,0,2,0,22,39,0,3,50.82,853981.24,13773.89,0,30,8,107,813481.24,13335.76,40500,0,0,0,122
2023-12-10 00:00:00,Sunday,68,52,27,0,2,0,23,45,0,2,55.74,963842.09,14174.15,0,21,8,120,936842.09,13777.09,27000,0,0,0,122
2023-12-11 00:00:00,Monday,59,61,22,0,2,0,14,46,0,1,48.36,780588.22,13230.31,0,31,8,100,767088.22,12784.8,13500,0,0,0,122
2023-12-12 00:00:00,Tuesday,52,68,15,0,2,0,13,40,0,1,42.62,683082.15,13136.2,0,22,8,90,669582.15,12633.63,13500,0,0,0,122
2023-12-13 00:00:00,Wednesday,62,57,24,1,2,0,14,50,0,1,50.82,887106.6,14308.17,0,13,8,108,873606.6,13650.1,13500,0,0,0,122
2023-12-14 00:00:00,Thursday,82,34,41,4,2,0,25,53,5,5,67.21,1115983.7,13609.56,0,23,8,140,1039483.7,13326.71,76500,15300,0,0,122
2023-12-15 00:00:00,Friday,99,21,44,0,2,0,28,67,4,2,81.15,1450345.53,14649.95,0,30,8,174,1361557.39,14332.18,88788.14,22197.03,0,0,122
2023-12-16 00:00:00,Saturday,87,32,34,1,2,0,21,58,4,7,71.31,1140989.58,13114.82,0,45,8,161,1053531.94,13335.85,87457.64,21864.41,0,0,122
