History and Forecast Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
The Claridges,,,,,,,,,,,,,,,,,,,,,,,,,
Date From: 2023-10-01; Date To: 2023-11-16,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Day,Rooms Sold,Rooms for Sale,Arrival Rooms,Compliment Rooms,House Use,Hold,Individual Confirm,Individual Tentative,Group Confirm,Group Tentative,Occupancy %,Room Revenue,ARR,Inclusion Revenue,Departure Rooms,OOO Rooms,Pax,Individual Revenue,Individual ARR,Confirmed Group Revenue,Confirmed Group ARR,Tentative Group Revenue,Tentative Group ARR,Total Room Inventory
2023-10-01 00:00:00,Sunday,94,8,49,4,2,0,100,0,0,0,87.04,1214757.04,12922.95,0,46,22,166,899087.55,8990.88,315669.49,0,0,0,108
,Total (History),94,8,49,4,2,0,100,0,0,0,87.04,1214757.04,12922.95,0,46,22,166,899087.55,8990.88,315669.49,0,0,0,108
,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-02 00:00:00,Monday,81,19,32,4,1,0,59,8,13,6,77.14,1029854.58,12714.25,0,24,25,183,787159.67,11748.65,242694.91,18668.84,0,0,105
2023-10-03 00:00:00,Tuesday,81,27,37,1,2,0,42,13,10,19,72.97,1077017.68,13296.51,0,40,19,165,717017.68,13036.68,360000,36000,0,0,111
2023-10-04 00:00:00,Wednesday,109,1,60,0,1,0,46,23,2,39,98.2,1443539.01,13243.48,0,34,19,183,928039.01,13449.84,515500,257750,0,0,111
2023-10-05 00:00:00,Thursday,99,13,33,0,1,0,41,33,1,25,87.61,1274646.2,12875.21,0,43,17,171,931146.2,12583.06,343500,343500,0,0,113
2023-10-06 00:00:00,Friday,79,34,23,0,1,0,47,24,0,9,69.3,1044769.83,13224.93,0,42,16,161,941269.83,13257.32,103500,0,0,0,114
2023-10-07 00:00:00,Saturday,85,28,36,0,1,0,42,29,1,14,74.56,1161895.43,13669.36,0,30,16,178,985512.31,13880.45,176383.12,176383.12,0,0,114
2023-10-08 00:00:00,Sunday,103,16,55,0,1,0,45,33,0,26,85.83,1174299.51,11400.97,0,37,10,189,1050799.51,13471.79,123500,0,0,0,120
2023-10-09 00:00:00,Monday,118,0,45,0,1,0,43,36,0,40,99.16,1291244.89,10942.75,0,30,11,203,1033244.89,13079.05,258000,0,0,0,119
2023-10-10 00:00:00,Tuesday,113,5,17,0,1,0,35,37,1,41,94.96,1271262.42,11250.11,0,23,11,187,1012262.42,14059.2,259000,259000,0,0,119
2023-10-11 00:00:00,Wednesday,110,7,22,0,1,0,31,38,1,41,93.22,1273204.94,11574.59,0,25,12,187,1014204.94,14698.62,259000,259000,0,0,118
2023-10-12 00:00:00,Thursday,118,0,36,1,1,0,39,42,0,39,98.33,1342623.56,11378.17,0,26,10,208,1123123.56,13865.72,219500,0,0,0,120
2023-10-13 00:00:00,Friday,118,0,52,1,1,0,45,55,2,18,98.33,1600100.62,13560.17,0,52,10,232,1399600.62,13996.01,200500,100250,0,0,120
2023-10-14 00:00:00,Saturday,99,20,37,0,1,0,43,42,2,13,82.5,1385579.22,13995.75,0,57,10,199,1184579.22,13936.23,201000,100500,0,0,120
2023-10-15 00:00:00,Sunday,102,18,41,0,0,0,35,31,3,33,85,1131625.8,11094.37,0,39,10,193,916625.8,13888.27,215000,71666.67,0,0,120
2023-10-16 00:00:00,Monday,97,22,37,0,1,0,28,44,2,24,80.83,994541.03,10253,0,41,10,181,967541.03,13438.07,27000,13500,0,0,120
2023-10-17 00:00:00,Tuesday,93,27,30,0,1,0,21,43,1,29,76.86,945500.52,10166.67,0,34,9,172,906500.52,14164.07,39000,39000,0,0,121
2023-10-18 00:00:00,Wednesday,115,7,41,0,0,0,26,49,1,39,94.26,1171441.18,10186.45,0,20,8,204,987949.58,13172.66,183491.6,183491.6,0,0,122
2023-10-19 00:00:00,Thursday,108,11,40,3,0,0,22,39,2,48,88.52,1079815.62,9998.29,0,44,8,191,810127.5,13280.78,269688.12,134844.06,0,0,122
2023-10-20 00:00:00,Friday,115,2,40,3,2,0,28,41,7,44,94.26,1030118.51,8957.55,0,36,8,188,887955.79,12868.92,142162.72,20308.96,0,0,122
